ID,probability
TEST_00000,0.05040908248294245
TEST_00001,0.013452572335801282
TEST_00002,0.17215893114590847
TEST_00003,0.13015508533597409
TEST_00004,0.47688284666586483
TEST_00005,0.14287611525747346
TEST_00006,0.44605854053797
TEST_00007,0.4378684914252234
TEST_00008,0.32067393144717443
TEST_00009,0.015182645945523196
TEST_00010,0.08811030371175531
TEST_00011,0.4629351118226148
TEST_00012,0.37257606497869566
TEST_00013,0.36846817060950593
TEST_00014,0.3064111539572761
TEST_00015,0.012375419863747824
TEST_00016,0.24920734078184087
TEST_00017,0.42168768072203083
TEST_00018,0.26243500942172504
TEST_00019,0.5405650357409262
TEST_00020,0.28541175306873656
TEST_00021,0.3796479104922187
TEST_00022,0.250248983251496
TEST_00023,0.2641561145412355
TEST_00024,0.3650753154019338
TEST_00025,0.008390529733291992
TEST_00026,0.12784447039790245
TEST_00027,0.47787554206998656
TEST_00028,0.20863325213828213
TEST_00029,0.1553627856390027
TEST_00030,0.4370964191758525
TEST_00031,0.21457930861298466
TEST_00032,0.16088958105541662
TEST_00033,0.18074318425866726
TEST_00034,0.35501641133029366
TEST_00035,0.01606381716246832
TEST_00036,0.16144541901816128
TEST_00037,0.35315558564559546
TEST_00038,0.24781351655622835
TEST_00039,0.022816707441243148
TEST_00040,0.20124246825780456
TEST_00041,0.16012936024449603
TEST_00042,0.28321933040650893
TEST_00043,0.28909512679019794
TEST_00044,0.31455180314534253
TEST_00045,0.4899868972339207
TEST_00046,0.42931216282808643
TEST_00047,0.27404935717796364
TEST_00048,0.1487632113191487
TEST_00049,0.3674391191042331
TEST_00050,0.23366220836556328
TEST_00051,0.14814840610281851
TEST_00052,0.1560697644647024
TEST_00053,0.4677532485088666
TEST_00054,0.006998902631236459
TEST_00055,0.44042903911365133
TEST_00056,0.25678092384563583
TEST_00057,0.24658176877275434
TEST_00058,0.4513443000837652
TEST_00059,0.24610031391008108
TEST_00060,0.036749190706706555
TEST_00061,0.1957491103626324
TEST_00062,0.3730500046706882
TEST_00063,0.36410968372863106
TEST_00064,0.2135422396774517
TEST_00065,0.006400881779124294
TEST_00066,0.2769327415424183
TEST_00067,0.23324171939964927
TEST_00068,0.26561653388498535
TEST_00069,0.4443687471847216
TEST_00070,0.37563403043352483
TEST_00071,0.2893555199085819
TEST_00072,0.23642494783846366
TEST_00073,0.22439779125062084
TEST_00074,0.14265173294096004
TEST_00075,0.2348886283730736
TEST_00076,0.06369761315854819
TEST_00077,0.004867913268185909
TEST_00078,0.1532496952892527
TEST_00079,0.25298858086074405
TEST_00080,0.2745981186380188
TEST_00081,0.0037366214716630063
TEST_00082,0.23527989328232404
TEST_00083,0.17048694814465054
TEST_00084,0.35002346366300685
TEST_00085,0.3204136335650487
TEST_00086,0.009345838836044059
TEST_00087,0.386222023143884
TEST_00088,0.1501505477997467
TEST_00089,0.3889033724296076
TEST_00090,0.254706081801432
TEST_00091,0.10453968616890591
TEST_00092,0.3944184398932199
TEST_00093,0.4417763217172585
TEST_00094,0.010108095182479754
TEST_00095,0.011085827884133275
TEST_00096,0.4293703550363621
TEST_00097,0.1350905349898847
TEST_00098,0.3894079753955311
TEST_00099,0.25232684770148217
TEST_00100,0.11002835336184184
TEST_00101,0.22088717358131685
TEST_00102,0.34394137394163027
TEST_00103,0.26070863497804025
TEST_00104,0.3554125882934919
TEST_00105,0.44844438806263587
TEST_00106,0.20465972057608
TEST_00107,0.026207226635351983
TEST_00108,0.3460906247376964
TEST_00109,0.008667130986146
TEST_00110,0.3762326162784408
TEST_00111,0.33322897195935647
TEST_00112,0.0846726405646488
TEST_00113,0.35595304579727943
TEST_00114,0.17802631609837782
TEST_00115,0.37104433594358543
TEST_00116,0.03675056814723993
TEST_00117,0.4470183169792182
TEST_00118,0.3489722994013056
